id,name,area,genre,rating,googleMapsUrl,comment,isActive,createdAt
"44","サル イ アモール","other","other",4.4,"https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%AB%20%E3%82%A4%20%E3%82%A2%E3%83%A2%E3%83%BC%E3%83%AB","サル イ アモール 4.4(470) お手頃 · スペイン料理",true,"2026-03-31"
"45","骨付鳥 一鶴 西梅田店","umeda","yakitori",4.3,"https://www.google.com/maps/search/?api=1&query=%E9%AA%A8%E4%BB%98%E9%B3%A5%20%E4%B8%80%E9%B6%B4%20%E8%A5%BF%E6%A2%85%E7%94%B0%E5%BA%97","骨付鳥 一鶴 西梅田店 4.3(1,172) ￥2,000～3,000 · 鶏料理",true,"2026-03-31"
"46","焼肉・ホルモン 踊ル","other","yakiniku",4.9,"https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E8%82%89%E3%83%BB%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3%20%E8%B8%8A%E3%83%AB","焼肉・ホルモン 踊ル 4.9(65) 焼き肉",true,"2026-03-31"
"47","立ち呑み とおる","other","tachinomi",4.5,"https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E3%81%A1%E5%91%91%E3%81%BF%20%E3%81%A8%E3%81%8A%E3%82%8B","立ち呑み とおる 4.5(85) ￥2,000～3,000 · 立食形式の飲食店",true,"2026-03-31"
"48","PaNOTTO コーヒー＆ベーカリー","other","other",4,"https://www.google.com/maps/search/?api=1&query=PaNOTTO%20%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%EF%BC%86%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC","PaNOTTO コーヒー＆ベーカリー 4.0(34) ￥1,000～2,000 · ベーカリー",true,"2026-03-31"
"49","北新地 アンシェーヌ","umeda","izakaya",4.8,"https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%96%B0%E5%9C%B0%20%E3%82%A2%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%BC%E3%83%8C","北新地 アンシェーヌ 4.8(65) ビストロ",true,"2026-03-31"
"50","ロウリーズ・ザ・プライムリブ 大阪","other","other",4.4,"https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%82%A6%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%BB%E3%82%B6%E3%83%BB%E3%83%97%E3%83%A9%E3%82%A4%E3%83%A0%E3%83%AA%E3%83%96%20%E5%A4%A7%E9%98%AA","ロウリーズ・ザ・プライムリブ 大阪 4.4(1,070) ￥10,000 以上 · アメリカ料理",true,"2026-03-31"
"51","立ち呑み処 魚しょう 天満店","tenma","izakaya",4.2,"https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E3%81%A1%E5%91%91%E3%81%BF%E5%87%A6%20%E9%AD%9A%E3%81%97%E3%82%87%E3%81%86%20%E5%A4%A9%E6%BA%80%E5%BA%97","立ち呑み処 魚しょう 天満店 4.2(184) ￥2,000～3,000 · 居酒屋",true,"2026-03-31"
"52","法善寺 浅草","other","other",4.6,"https://www.google.com/maps/search/?api=1&query=%E6%B3%95%E5%96%84%E5%AF%BA%20%E6%B5%85%E8%8D%89","法善寺 浅草 4.6(148) ￥10,000 以上 · ふぐ料理店",true,"2026-03-31"
"53","丸元","other","other",4.3,"https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E5%85%83","丸元 4.3(102) すっぽん料理店",true,"2026-03-31"
"54","ツバクロすっぽん食堂 大阪店","other","other",4.6,"https://www.google.com/maps/search/?api=1&query=%E3%83%84%E3%83%90%E3%82%AF%E3%83%AD%E3%81%99%E3%81%A3%E3%81%BD%E3%82%93%E9%A3%9F%E5%A0%82%20%E5%A4%A7%E9%98%AA%E5%BA%97","ツバクロすっぽん食堂 大阪店 4.6(271) お手頃 · すっぽん料理店",true,"2026-03-31"
"55","ふぐ久","other","other",4.3,"https://www.google.com/maps/search/?api=1&query=%E3%81%B5%E3%81%90%E4%B9%85","ふぐ久 4.3(171) お手頃 · ふぐ料理店",true,"2026-03-31"
"56","すし酒場ジャポニカ 【梅田】","umeda","izakaya",3.8,"https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%97%E9%85%92%E5%A0%B4%E3%82%B8%E3%83%A3%E3%83%9D%E3%83%8B%E3%82%AB%20%E3%80%90%E6%A2%85%E7%94%B0%E3%80%91","すし酒場ジャポニカ 【梅田】 3.8(110) ￥3,000～4,000 · 居酒屋",true,"2026-03-31"
"57","タツリキショップ","other","bar",4.3,"https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%83%84%E3%83%AA%E3%82%AD%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97","タツリキショップ 4.3(120) ￥1～1,000 · バー",true,"2026-03-31"
